player	position	age	agency_type	team_from	team_to	years_contract	total_amount	avg_amount
Marc Gasol	C	30	UFA	MEM	MEM	5	$113,211,750	$22,642,350
Kevin Love	PF	26	UFA	CLE	CLE	5	$113,211,750	$22,642,350
Jimmy Butler	SF	25	RFA	CHI	CHI	5	$94,343,125	$18,868,625
Kawhi Leonard	SF	24	RFA	SAS	SAS	5	$94,343,125	$18,868,625
Reggie Jackson	PG	25	RFA	DET	DET	5	$89,420,875	$17,884,175
DeAndre Jordan	C	27	UFA	LAC	LAC	4	$87,616,050	$21,904,013
Goran Dragic	PG	29	UFA	MIA	MIA	5	$85,002,250	$17,000,450
LaMarcus Aldridge	PF	29	UFA	POR	SAS	4	$84,072,030	$21,018,008
Draymond Green	SF	25	RFA	GSW	GSW	5	$82,000,000	$16,400,000
Tristan Thompson	PF	24	RFA	CLE	CLE	5	$80,000,000	$16,000,000
Enes  Kanter	C	23	RFA	OKC	OKC	4	$70,060,026	$17,515,007
Wesley Matthews	SG	28	UFA	POR	DAL	4	$70,060,026	$17,515,007
Khris Middleton	SF	23	RFA	MIL	MIL	5	$70,000,000	$14,000,000
Brandon Knight	PG	23	RFA	PHX	PHX	5	$70,000,000	$14,000,000
Tobias Harris	SF	22	RFA	ORL	ORL	4	$64,000,000	$16,000,000
Brook Lopez	C	27	UFA	BKN	BKN	3	$63,497,025	$21,165,675
Paul Millsap	PF	30	UFA	ATL	ATL	3	$60,216,100	$20,072,033
DeMarre Carroll	SF	28	UFA	ATL	TOR	4	$58,072,000	$14,518,000
Omer Asik	C	29	UFA	NOP	NOP	5	$57,500,000	$11,500,000
Robin Lopez	C	27	UFA	POR	NYK	4	$54,015,500	$13,503,875
Tyson Chandler	C	32	UFA	DAL	PHX	4	$52,000,000	$13,000,000
Greg Monroe	C	25	UFA	DET	MIL	3	$51,437,513	$17,145,838
Thaddeus Young	SF	27	UFA	BKN	BKN	4	$50,000,000	$12,500,000
LeBron James	SF	30	UFA	CLE	CLE	2	$46,974,673	$23,487,337
Danny Green	SG	28	UFA	SAS	SAS	4	$45,000,000	$11,250,000
Monta Ellis	PG	29	UFA	DAL	IND	4	$44,000,000	$11,000,000
Iman Shumpert	SF	25	RFA	CLE	CLE	4	$40,000,000	$10,000,000
Jae Crowder	SF	25	RFA	BOS	BOS	5	$35,000,000	$7,000,000
Kosta Koufos	C	26	RFA	MEM	SAC	4	$33,000,000	$8,250,000
Al-Farouq Aminu	SF	24	UFA	DAL	POR	4	$29,989,200	$7,497,300
Cory Joseph	PG	23	UFA	SAS	TOR	4	$29,890,000	$7,472,500
Amir Johnson	PF	28	UFA	TOR	BOS	2	$24,000,000	$12,000,000
Corey Brewer	SF	29	UFA	HOU	HOU	3	$23,390,000	$7,796,667
Patrick Beverley	PG	27	RFA	HOU	HOU	4	$23,027,026	$5,756,757
Louis Williams	SG	28	UFA	TOR	LAL	3	$21,000,017	$7,000,006
Rodney Stuckey	PG	29	UFA	IND	IND	3	$21,000,000	$7,000,000
Aron Baynes	PF	28	UFA	SAS	DET	3	$20,000,272	$6,666,757
Dwyane Wade	SG	33	UFA	MIA	MIA	1	$20,000,000	$20,000,000
Ed Davis	PF	26	UFA	LAL	POR	3	$19,997,700	$6,665,900
Kyle Singler	SG	27	RFA	OKC	OKC	4	$19,347,826	$4,836,957
Alexis Ajinca	C	27	UFA	NOP	NOP	4	$19,200,000	$4,800,000
Marco Belinelli	SG	29	UFA	SAS	SAC	3	$19,000,000	$6,333,333
Brandan Wright	C	27	UFA	PHX	MEM	3	$17,129,640	$5,709,880
Kevin Garnett	C	39	UFA	MIN	MIN	2	$16,500,000	$8,250,000
Kyle O'Quinn	PF	25	RFA	ORL	NYK	4	$16,012,500	$4,003,125
Arron Afflalo	SG	29	UFA	POR	NYK	2	$16,000,000	$8,000,000
C.J. Watson	PG	31	UFA	IND	ORL	3	$15,000,000	$5,000,000
Mike Dunleavy	SF	34	UFA	CHI	CHI	3	$14,400,000	$4,800,000
LaVoy Allen	PF	26	UFA	IND	IND	3	$12,000,000	$4,000,000
Will Barton	SG	24	RFA	DEN	DEN	3	$11,000,000	$3,666,667
Tim Duncan	PF	39	UFA	SAS	SAS	2	$10,850,000	$5,425,000
Paul Pierce	SF	37	UFA	WAS	LAC	3	$10,583,760	$3,527,920
Jonas Jerebko	PF	28	UFA	BOS	BOS	2	$10,000,000	$5,000,000
Rajon Rondo	PG	29	UFA	DAL	SAC	1	$9,500,000	$9,500,000
Dante Cunningham	PF	28	UFA	NOP	NOP	3	$8,997,750	$2,999,250
Derrick Williams	PF	24	RFA	SAC	NYK	2	$8,800,000	$4,400,000
Austin Rivers	SG	24	UFA	LAC	LAC	2	$6,361,578	$3,180,789
Brandon Bass	PF	30	UFA	BOS	LAL	2	$6,000,000	$3,000,000
Drew Gooden	C	33	UFA	WAS	WAS	2	$6,000,000	$3,000,000
Omri Casspi	SF	27	UFA	SAC	SAC	2	$6,000,000	$3,000,000
Manu Ginobili	SG	37	UFA	SAS	SAS	2	$5,700,000	$2,850,000
Jose Barea	PG	31	UFA	DAL	DAL	2	$5,600,000	$2,800,000
Mirza Teletovic	PF	29	UFA	BKN	PHX	1	$5,464,000	$5,464,000
Joel Anthony	C	32	UFA	DET	DET	2	$5,000,000	$2,500,000
Jason Smith	PF	29	UFA	NYK	ORL	1	$4,500,000	$4,500,000
Mo Williams	PG	32	UFA	CHA	CLE	2	$4,374,255	$2,187,128
Jeremy Lin	PG	26	UFA	LAL	CHA	2	$4,374,255	$2,187,128
Joe Ingles	PF	27	RFA	UTH	UTH	2	$4,100,000	$2,050,000
Alan Anderson	SG	32	UFA	BKN	WAS	1	$4,000,000	$4,000,000
Wayne Ellington	SG	27	UFA	LAL	BKN	2	$3,067,500	$1,533,750
Caron Butler	SF	35	UFA	MIL	SAC	2	$3,050,846	$1,525,423
Luis Scola	PF	35	UFA	IND	TOR	1	$3,000,000	$3,000,000
Shane Larkin	PG	22	UFA	NYK	BKN	2	$2,965,250	$1,482,625
Andrea Bargnani	PF	29	UFA	NYK	BKN	2	$2,914,556	$1,457,278
Alonzo Gee	SF	28	UFA	POR	NOP	2	$2,750,000	$1,375,000
Leandro Barbosa	SG	32	UFA	GSW	GSW	1	$2,500,000	$2,500,000
Jeremy Evans	SF	27	UFA	UTH	DAL	2	$2,327,888	$1,163,944
Gary Neal	PG	30	UFA	MIN	WAS	1	$2,139,000	$2,139,000
Thomas Robinson	PF	24	UFA	PHI	BKN	2	$2,032,309	$1,016,155
Aaron Brooks	PG	30	UFA	CHI	CHI	1	$2,000,000	$2,000,000
Justin Holiday	SF	26	UFA	GSW	ATL	2	$1,962,972	$981,486
Louis Amundson	PF	32	UFA	NYK	NYK	1	$1,650,000	$1,650,000
Lance Thomas	SF	27	UFA	NYK	NYK	1	$1,600,000	$1,600,000
Amar'e Stoudemire	PF	32	UFA	DAL	MIA	1	$1,499,187	$1,499,187
Ronnie Price	PG	32	UFA	LAL	PHX	1	$1,499,187	$1,499,187
Charlie Villanueva	PF	30	UFA	DAL	DAL	1	$1,499,187	$1,499,187
David West	PF	34	UFA	IND	SAS	1	$1,499,187	$1,499,187
Richard Jefferson	SF	35	UFA	DAL	DAL	1	$1,499,187	$1,499,187
Gerald Green	SF	29	UFA	PHX	MIA	1	$1,356,146	$1,356,146
Marcus Thornton	SG	28	UFA	PHX	HOU	1	$1,185,784	$1,185,784
Wesley Johnson	SF	28	UFA	LAL	LAC	1	$1,100,602	$1,100,602
Willie Reed	PF	25	UFA	BKN	BKN	1	$947,276	$947,276
Ronald Roberts	SF	23	UFA	PHI	TOR	-	-	-
Shayne Whittington	C	24	UFA	IND	IND	1	-	$0
James Anderson	SG	26	UFA	PHI	SAC	-	-	-
